scenario,metric,off_before,off_after,off_delta,on_before,on_after,on_delta,delta_diff
cache-pressure,cache_stats.cache_agent_sessions,14.0,14.0,0.0,10.0,14.0,4.0,4.0
cache-pressure,cache_stats.cache_expired_branch_blocks,1378.0,1381.0,3.0,-1.0,1378.0,1379.0,1376.0
cache-pressure,cache_stats.cache_scratchpad_blocks,1384.0,1384.0,0.0,-1.0,1384.0,1385.0,1385.0
cache-pressure,cache_stats.cache_shared_prefix_blocks,1388.0,1388.0,0.0,-1.0,1388.0,1389.0,1389.0
cache-pressure,cache_stats.cache_tool_result_blocks,2483.0,2483.0,0.0,1092.0,2483.0,1391.0,1391.0
cache-pressure,cache_stats.cache_total_blocks,7996.0,7999.0,3.0,1069.0,7996.0,6927.0,6924.0
cache-pressure,cache_stats.raw.active_blocks_by_segment.expired_branch,1378.0,1381.0,3.0,0.0,1378.0,1378.0,1375.0
cache-pressure,cache_stats.raw.active_blocks_by_segment.scratchpad,1384.0,1384.0,0.0,0.0,1384.0,1384.0,1384.0
cache-pressure,cache_stats.raw.active_blocks_by_segment.shared_prefix,1388.0,1388.0,0.0,0.0,1388.0,1388.0,1388.0
cache-pressure,cache_stats.raw.active_blocks_by_segment.tool_result,2355.0,2355.0,0.0,964.0,2355.0,1391.0,1391.0
cache-pressure,cache_stats.raw.active_blocks_by_segment.tool_schema,1412.0,1412.0,0.0,26.0,1412.0,1386.0,1386.0
cache-pressure,cache_stats.raw.active_blocks_by_segment.user_message,79.0,79.0,0.0,79.0,79.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.agentmem_prompt_session,79.0,79.0,0.0,79.0,79.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.cache_pressure_session_1,1736.0,1736.0,0.0,0.0,1736.0,1736.0,1736.0
cache-pressure,cache_stats.raw.active_blocks_by_session.cache_pressure_session_2,1731.0,1731.0,0.0,0.0,1731.0,1731.0,1731.0
cache-pressure,cache_stats.raw.active_blocks_by_session.cache_pressure_session_3,1732.0,1732.0,0.0,0.0,1732.0,1732.0,1732.0
cache-pressure,cache_stats.raw.active_blocks_by_session.cache_pressure_session_4,1728.0,1731.0,3.0,0.0,1728.0,1728.0,1725.0
cache-pressure,cache_stats.raw.active_blocks_by_session.event_run_1782986384912_8ef74b85,61.0,61.0,0.0,61.0,61.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.event_run_1782986631624_018456ba,42.0,42.0,0.0,42.0,42.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.event_run_1782986854590_7a8f6ad9,44.0,44.0,0.0,44.0,44.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.run_1782986379073_44cd6758,824.0,824.0,0.0,824.0,824.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.run_1782986627119_1f350e07,9.0,9.0,0.0,9.0,9.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.run_1782986848299_f52a22b4,9.0,9.0,0.0,9.0,9.0,0.0,0.0
cache-pressure,cache_stats.raw.active_blocks_by_session.task_001,1.0,1.0,0.0,1.0,1.0,0.0,0.0
cache-pressure,cache_stats.raw.eviction_reasons.cache_pressure,330.0,330.0,0.0,330.0,330.0,0.0,0.0
cache-pressure,cache_stats.raw.eviction_reasons.ttl_expired,280.0,280.0,0.0,280.0,280.0,0.0,0.0
cache-pressure,cache_stats.raw.generated_at,1782989403.9227996,1782989462.350272,58.42747235298157,1782986875.2628186,1782989403.9227996,2528.6599810123444,2470.232508659363
cache-pressure,cache_stats.raw.num_agent_blocks,7996.0,7999.0,3.0,1069.0,7996.0,6927.0,6924.0
cache-pressure,cache_stats.raw.segments.expired_branch.accessed_blocks,0.0,1020.0,1020.0,0.0,0.0,0.0,-1020.0
cache-pressure,cache_stats.raw.segments.expired_branch.cached_blocks,1378.0,1381.0,3.0,0.0,1378.0,1378.0,1375.0
cache-pressure,cache_stats.raw.segments.mcp_result.cached_blocks,152.0,152.0,0.0,152.0,152.0,0.0,0.0
cache-pressure,cache_stats.raw.segments.mcp_result.evicted_blocks,152.0,152.0,0.0,152.0,152.0,0.0,0.0
cache-pressure,cache_stats.raw.segments.scratchpad.accessed_blocks,0.0,1360.0,1360.0,0.0,0.0,0.0,-1360.0
cache-pressure,cache_stats.raw.segments.scratchpad.cached_blocks,1384.0,1384.0,0.0,0.0,1384.0,1384.0,1384.0
cache-pressure,cache_stats.raw.segments.shared_prefix.accessed_blocks,19.0,1398.0,1379.0,0.0,19.0,19.0,-1360.0
cache-pressure,cache_stats.raw.segments.shared_prefix.cached_blocks,1388.0,1388.0,0.0,0.0,1388.0,1388.0,1388.0
cache-pressure,cache_stats.raw.segments.tool_result.accessed_blocks,5501.0,6881.0,1380.0,5473.0,5501.0,28.0,-1352.0
cache-pressure,cache_stats.raw.segments.tool_result.cached_blocks,2483.0,2483.0,0.0,1092.0,2483.0,1391.0,1391.0
cache-pressure,cache_stats.raw.segments.tool_result.evicted_blocks,128.0,128.0,0.0,128.0,128.0,0.0,0.0
cache-pressure,cache_stats.raw.segments.tool_schema.accessed_blocks,0.0,1360.0,1360.0,0.0,0.0,0.0,-1360.0
cache-pressure,cache_stats.raw.segments.tool_schema.cached_blocks,1742.0,1742.0,0.0,356.0,1742.0,1386.0,1386.0
cache-pressure,cache_stats.raw.segments.tool_schema.evicted_blocks,330.0,330.0,0.0,330.0,330.0,0.0,0.0
cache-pressure,cache_stats.raw.segments.user_message.accessed_blocks,7.0,7.0,0.0,7.0,7.0,0.0,0.0
cache-pressure,cache_stats.raw.segments.user_message.cached_blocks,79.0,79.0,0.0,79.0,79.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.agentmem_prompt_session.accessed_blocks,7.0,7.0,0.0,7.0,7.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.agentmem_prompt_session.cached_blocks,79.0,79.0,0.0,79.0,79.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_1.accessed_blocks,19.0,1738.0,1719.0,0.0,19.0,19.0,-1700.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_1.cached_blocks,1736.0,1736.0,0.0,0.0,1736.0,1736.0,1736.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_2.accessed_blocks,0.0,1700.0,1700.0,0.0,0.0,0.0,-1700.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_2.cached_blocks,1731.0,1731.0,0.0,0.0,1731.0,1731.0,1731.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_3.accessed_blocks,0.0,1700.0,1700.0,0.0,0.0,0.0,-1700.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_3.cached_blocks,1732.0,1732.0,0.0,0.0,1732.0,1732.0,1732.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_4.accessed_blocks,0.0,1360.0,1360.0,0.0,0.0,0.0,-1360.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_4.cached_blocks,1728.0,1731.0,3.0,0.0,1728.0,1728.0,1725.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986384912_8ef74b85.accessed_blocks,95.0,95.0,0.0,87.0,95.0,8.0,8.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986384912_8ef74b85.cached_blocks,61.0,61.0,0.0,61.0,61.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986631624_018456ba.cached_blocks,42.0,42.0,0.0,42.0,42.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986854590_7a8f6ad9.cached_blocks,44.0,44.0,0.0,44.0,44.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986379073_44cd6758.accessed_blocks,4075.0,4075.0,0.0,4075.0,4075.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986379073_44cd6758.cached_blocks,824.0,824.0,0.0,824.0,824.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986627119_1f350e07.cached_blocks,9.0,9.0,0.0,9.0,9.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986848299_f52a22b4.cached_blocks,9.0,9.0,0.0,9.0,9.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_001.accessed_blocks,1331.0,1351.0,20.0,1311.0,1331.0,20.0,0.0
cache-pressure,cache_stats.raw.sessions.task_001.cached_blocks,158.0,158.0,0.0,158.0,158.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_001.evicted_blocks,157.0,157.0,0.0,157.0,157.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_002.cached_blocks,301.0,301.0,0.0,301.0,301.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_002.evicted_blocks,301.0,301.0,0.0,301.0,301.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_unique_1782459993.cached_blocks,152.0,152.0,0.0,152.0,152.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_unique_1782459993.evicted_blocks,152.0,152.0,0.0,152.0,152.0,0.0,0.0
cache-pressure,summary.avg_latency,,2.437991168150256,,,2.745731302650347,,0.30774013450009097
cache-pressure,summary.avg_prompt_tokens,,5483.8,,,5483.8,,0.0
cache-pressure,summary.avg_score,,1.0,,,1.0,,0.0
cache-pressure,summary.avg_ttft,,0.41750076775060735,,,0.9550059798499205,,0.5375052120993131
cache-pressure,summary.success_rate,,100.0,,,100.0,,0.0
cache-pressure,summary.tokens_per_second,,41.9676459035568,,,36.797693347285204,,-5.169952556271596
